交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資,
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比,
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%),
4月24日,31.8,31.8,31.15,31.6,-0.4,-1.25,2.03,294,182,1.6,0.09,-56,0,0,-56,3,49,411,0,0,0,0
4月23日,31.5,32,31.15,32,0.4,1.27,2.69,291,116,2.5,0.09,2,0,0,2,3,-20,362,0,0,0,1
4月22日,30.95,31.6,30.95,31.6,0.45,1.44,2.09,232,88,2.6,0.07,-8,0,0,-8,3,26,382,0,0,0,1
4月21日,31,31.15,30.15,31.15,0,0,3.21,385,186,2.1,0.12,-73,0,0,-73,3,-119,356,0,0,0,0
4月20日,31,31.2,30.85,31.15,-0.05,-0.16,1.12,50,20,2.5,0.02,-1,0,0,-1,3,14,475,0,0,0,0
4月17日,31.25,31.3,30.8,31.2,0.25,0.81,1.62,166,79,2.1,0.05,5,0,-1,4,3,51,461,0,0,0,1
4月16日,30.75,31.15,30.7,30.95,-0.15,-0.48,1.45,63,51,1.2,0.02,-1,0,0,-1,3,-1,410,0,0,0,0
4月15日,30.85,31.2,30.85,31.1,0.35,1.14,1.14,133,78,1.7,0.04,8,0,0,8,3,-2,411,0,0,0,1
4月14日,30.7,30.85,30.5,30.75,-0.05,-0.16,1.14,247,142,1.7,0.08,25,0,0,25,3,-25,413,0,0,0,0
4月13日,30.9,30.95,30.5,30.8,-0.45,-1.44,1.44,171,105,1.6,0.05,-41,0,0,-41,3,35,438,0,0,0,0
4月10日,31,31.25,30.7,31.25,0,0,1.76,168,93,1.8,0.05,2,0,0,2,3,0,403,0,0,0,0
4月9日,31.45,31.45,30.75,31.25,0.25,0.81,2.26,177,106,1.7,0.05,-65,0,0,-65,3,-1,403,0,0,0,1
4月8日,30.85,31,30.65,31,0,0,1.13,208,91,2.3,0.06,-13,0,0,-13,3.1,-24,404,0,0,0,0
4月7日,29.3,31,29.25,31,1.7,5.8,5.97,350,177,2,0.1,79,0,-7,72,3.1,-73,428,0,0,0,1
